,Video.publish.time,Clicks.per.end.screen.element.shown.(%),Comments.added,Shares,Dislikes,Likes,Average.percentage.viewed.(%),Average.view.duration,Views,Watch.time.(hours),Subscribers,Impressions,Impressions.click-through.rate.(%)
1,25/04/2020,2.68,14392,1476,3502,30097,21.34,0.110833333,2556273,283662.3563,7938,13405459,10.92
2,26/04/2020,11.27,9640,1544,4731,28341,29.33,0.062777778,3425226,215723.1428,9410,17022958,14.36
3,06/04/2020,7.12,8524,196,505,5353,28.03,0.051666667,375546,19504.5802,885,2523477,8.48
4,22/04/2020,4.75,8357,321,884,9474,32.1,0.0625,603314,37711.324,1705,3862723,9.12
5,15/04/2020,8.14,8190,781,2185,14919,33.99,0.071111111,1758474,125359.3992,3307,8278024,14.42
6,03/04/2020,8.94,8095,1034,3233,31784,41.64,0.047222222,2618929,124216.5309,10333,13918672,12.86
7,23/04/2020,11.94,7260,2053,5731,43733,33.59,0.078055556,4663177,364179.2895,11691,29094097,11.19
8,09/04/2020,13.08,7222,1161,3577,23979,31.25,0.075833333,2806856,212984.1362,6334,15758684,12.42
9,27/03/2020,8.87,5857,1305,3435,20409,25.5,0.043888889,2898397,127720.0356,6088,11742075,16.99
10,30/03/2020,7.07,5064,611,1630,15064,31.12,0.065,1179001,76846.7102,4407,6792147,11.68
11,30/04/2020,6.75,4850,666,1589,9716,31.32,0.0675,1210661,82047.2028,1350,7449647,11.86
12,06/03/2020,3.78,4818,191,510,4292,38.97,0.114444444,450203,51616.4683,508,2366487,7.81
13,20/04/2020,4.06,4787,286,820,8022,26.04,0.068888889,604905,41734.5155,1417,3480792,10.6
14,07/05/2020,10.38,4613,120,341,3001,27.77,0.071944444,214838,15510.933,187,1495485,7.6
15,20/03/2020,7.34,4446,669,1939,12307,30.5,0.06,1631987,98038.0128,3516,7801866,15.01
16,08/04/2020,5.91,4373,348,1003,11065,29.03,0.074444444,883555,65967.3759,1597,4531901,12.04
17,29/04/2020,8.97,4309,749,2141,12460,30.26,0.060555556,1529994,92720.752,1773,7530629,15.21
18,31/03/2020,8.42,3955,513,1332,7920,32.16,0.094444444,922440,87172.4983,1017,4483701,13.16
19,03/03/2020,9.41,3321,85,387,2927,32.72,0.066666667,255040,17058.1977,415,1172570,12.05
20,26/03/2020,8.29,3263,899,2311,17935,37.33,0.081944444,1899161,155807.1451,4756,10954754,11.66
22,01/05/2020,5.09,3187,267,892,8244,28.24,0.071944444,640039,46093.6781,1091,3538062,11.55
23,18/09/2019,9.88,3138,851,8095,16482,30.91,0.075,2399684,180512.8954,8051,15249889,10.36
24,17/04/2020,12.77,3105,485,1467,9516,36.16,0.061944444,1095297,67984.7066,1536,5611239,13.43
25,22/05/2020,5.42,3088,122,675,9661,31.79,0.060833333,305667,18600.5265,928,1670042,10.98
26,18/04/2020,7.2,2991,319,969,9186,25.2,0.067222222,784809,52846.3829,1492,3844628,11.89
27,18/03/2020,9.59,2797,887,2220,30801,36.26,0.065833333,1593278,104951.0162,9712,9247930,10.91
28,20/09/2019,4.01,2789,1510,6902,22596,30.5,0.087777778,3728440,328206.6781,8596,20415321,12.57
29,25/03/2020,9.44,2761,205,593,4669,32.76,0.061666667,424951,26215.6076,725,2686021,9.41
30,23/03/2020,6.11,2651,271,816,5233,28.12,0.059722222,698530,41903.4642,909,3305831,13.81
31,17/09/2019,3.59,2557,753,6792,15716,34.08,0.075833333,2272475,172654.9001,7075,14211160,10.74
32,01/03/2020,6.54,2481,71,293,2862,21.88,0.051111111,232712,11936.5143,266,1306223,9.43
33,23/02/2020,7.19,2408,287,846,7061,30.24,0.093055556,777770,72448.7581,1199,3803075,11.71
34,11/05/2020,7.14,2395,229,683,6606,29.02,0.059722222,531436,31790.4411,639,2695727,12.75
36,21/09/2019,10.97,2313,985,4177,17743,33.92,0.075833333,2795823,212326.8514,5561,14274431,13.7
37,02/04/2020,5.59,2239,243,755,5796,27.41,0.066666667,650096,43368.1206,770,3002263,13.52
38,06/02/2020,6.89,2228,467,1585,11372,32.7,0.078333333,1214868,95341.1369,2329,7374822,11.15
39,21/01/2020,6.28,2185,626,1845,13946,30.68,0.092777778,1309752,121766.4183,2850,6759796,12.88
41,22/02/2020,10.19,2089,227,507,4715,42.12,0.028888889,569844,16535.1106,929,3154096,12.12
42,28/02/2020,5.86,2087,279,800,5693,30.59,0.07,712755,49908.01,742,3702201,12.27
44,04/03/2020,11.43,2052,697,1747,6819,33.04,0.069444444,1253204,87175.6333,1653,6165557,14.91
45,11/04/2020,8.82,2012,865,2541,18297,29.97,0.095,1970680,187376.4819,3800,11092876,11.31
46,26/02/2020,7.24,1987,196,622,4532,35.23,0.110555556,529758,58636.9612,408,2641161,10.64
47,05/05/2020,11.13,1984,212,671,4693,33.61,0.079166667,419555,33316.306,496,2581712,9.45
48,27/05/2020,4.13,1953,84,256,2628,25.77,0.0525,152099,8003.8235,229,1050576,6.44
49,03/06/2020,12.06,1941,172,519,3569,26.49,0.0625,320415,20061.7753,356,1548023,12.07
50,24/08/2019,2.86,1933,104,5340,5068,33.95,0.068333333,434591,29793.0964,1240,2128785,12.74
51,01/10/2019,7.21,1908,790,3110,17094,29.31,0.0875,2170538,190004.3966,4458,13192885,11.1
52,16/03/2020,9.7,1726,938,1980,8812,20.73,0.0625,1679746,105024.7039,2789,8605405,14.34
53,23/05/2020,12.09,1681,119,348,2907,28.02,0.056666667,219185,12452.3955,183,1310891,9.95
54,25/10/2019,8.16,1677,2677,7767,32600,29.47,0.086111111,6106231,526381.873,13683,44895670,9.81
55,17/02/2020,7.89,1647,96,328,2836,33.05,0.074444444,222374,16558.693,250,1559206,8.2
56,28/07/2019,3.97,1635,167,4917,6655,46.07,0.049722222,842985,42076.6907,4051,3912979,14.28
57,26/10/2019,13.64,1589,3394,8166,29154,31,0.0675,7185959,485772.2171,14245,43505506,12.74
58,19/02/2020,5.56,1556,145,434,3770,31.2,0.081666667,301135,24607.3865,348,1832815,9.49
59,28/10/2019,6.58,1549,298,1354,16105,21.78,0.055277778,764905,42295.9334,3729,3901058,12.16
60,12/02/2020,7.12,1502,427,1299,8875,31.93,0.095833333,1131057,108455.3501,1564,6110658,11.91
61,18/02/2020,5.7,1446,205,694,7006,27.61,0.0675,545207,36882.3505,1100,3073059,10.6
62,10/03/2020,10.27,1384,719,1832,8712,33.76,0.138888889,1558617,216835.2265,1918,6988022,11.15
63,05/02/2020,9.77,1350,288,959,5966,33.3,0.075277778,656499,49433.6842,819,3113709,12.65
64,06/09/2019,2.81,1340,882,4192,24584,32.42,0.068611111,3103924,213017.6451,9215,17962683,11.26
65,16/11/2019,6.8,1321,733,2406,14035,26.89,0.082222222,1851636,152709.6708,2883,9006743,14.3
66,11/01/2020,6.63,1317,425,1359,9512,30.71,0.095,1126435,107039.1813,1920,5674970,12.15
67,03/02/2020,7.43,1313,398,1449,8554,32.57,0.085833333,984539,84611.4291,1791,5690379,11.38
68,15/08/2019,6.06,1308,45,3538,2185,37.11,0.043055556,200544,8662.5475,640,1069175,11.59
69,17/05/2020,11.78,1270,196,536,3300,30.1,0.084444444,359714,30404.0829,211,1670221,12.73
70,04/01/2020,3.3,1250,582,2029,11980,29.16,0.102222222,1735769,177466.2224,2379,7015408,14.21
71,21/05/2020,10.84,1185,224,732,6581,29.19,0.08,623030,49915.1546,738,2666697,14.21
72,02/11/2019,5.51,1183,1896,5151,26696,33.42,0.08,4096452,327816.9789,7567,27330637,10.85
73,21/02/2020,7.45,1157,248,957,6687,31.72,0.068055556,682020,46456.1119,1090,3740238,11.8
74,30/11/2019,5.8,1132,828,2468,16867,27.63,0.085277778,2050388,175328.4413,4140,8613647,15.04
75,04/08/2020,12.26,1113,129,544,5601,35.37,0.074722222,331429,24817.9246,380,1530786,13.22
76,07/01/2020,4.83,1111,345,1127,9542,29.64,0.109444444,954318,104579.5994,1809,4775437,11.42
77,01/02/2020,6.13,1098,143,466,4799,27.55,0.061111111,409596,25110.0279,715,2222867,11.66
